Gender,Norwegian ,Class,Grammatical Form ,English ,
,absolutt,adj./ adv.,"absolutt, absolutte",absolute; absolutely,
,• Absolutt ikke!,,,• Absolutely not!,
en,adgang,noun,"adgangen, adganger, adgangene","admittance, access",
,• Adgang forbudt!,,,• No admittance!,
,• gratis adgang,,,• free admission,
et,adjektiv,noun,"adjektivet, adjektiv/adjektiver, adjektivene",adjective,
,adjø,interj.,,goodbye (formal),
en,administrasjon,noun,"administrasjonen, administrasjoner, administrasjonene","administration, business",
ei/en,administrasjonsbygning,noun,"-bygninga/bygningen, -bygninger, -bygningene",administration building,
en,administrativ assistent,noun,"assistenten, assistenter, assistentene",administrative assistant,
å,adoptere,verb,"adopterer, adopterte, har adoptert",adopt,
ei/en,adresse,noun,"adressa/adressen, adresser, adressene",address,
et,adverb,noun,"adverbet, adverb, adverbene",adverb,
en,advokat,noun,"advokaten, advokater, advokatene",lawyer,
en,aerobic,noun,aerobicen,aerobics,
en,afghaner,noun,"afghaneren, afghanere, afghanerne",person from Afghanistan,
,Afghanistan,noun,,Afghanistan,
,afghansk,adj.,,Afghani,
,afrikaans,noun,afrikaansen,"Afrikaans; official language
in South Africa",
en,agurk,noun,"agurken, agurker, agurkene",cucumber,
å,ake,verb,"aker, akte, har akt",go sledding,
en,akevitt,noun,"akevitten, akevitter, akevittene",aquavit,
,akkurat,adv.,,exactly,
å,akseptere,verb,"aksepterer, aksepterte, har akseptert",accept,
,aktiv,adj./adv.,"aktivt, aktive",active,
en,aktivitet,noun,"aktiviteten, aktiviteter, aktivitetene",activity,
et,akvarium,noun,"akvariet, akvarier, akvariene",aquarium,
,Albania,noun,,Albania,
en,albaner,noun,"albaneren, albanere, albanerne",person from Albania,
,albansk,adj.,"albansk, albanske",Albanian,
en,albansk,noun,albansken,Albanian language,
en,albue,noun,"albuen, albuer, albuene",elbow,
en,alder,noun,"alderen, aldre/aldrer, aldrene",age,
,aldri,adv.,,never,
,• Aldri i livet!,,,• Never in my life!,
,• Aldri mer!,,,• Never again!,
,• Nå eller aldri!,,,• Now or never!,
,alene,adv.,,alone,
en,aleneforelder,noun,"aleneforelderen, aleneforeldre, aleneforeldrene",single parent,
